lag_1,lag_2,lag_4,lag_8,rolling_mean_4,rolling_mean_8,rolling_std_4,rolling_std_8,week_of_year,week_cos,hol_easter,hol_kings_day,hol_pentecost,hol_christmas,temp_mean,precip_sum,sunshine_sum,lockdown_days,school_holiday,product_id,week_start
-17.294369,-5.0613956,-0.6059486,-1.3787037,-11.799052,1.0508299,5.0857763,-0.4564915,-0.8898723,5.26642,-0.14170541,-0.013803879,-0.02977884,0.0020746759,0.96242106,0.41222847,-1.5723562,-0.7523593,-0.0044154376,212,2021-09-13
-18.390675,-7.0612197,0.663123,-1.8377736,-17.664764,-3.0817811,4.6537957,-0.88937515,-0.67964226,4.554673,-0.117766574,-0.013803879,-0.026077552,0.0020746759,0.78883195,0.3531276,-1.5393233,-0.69216603,0.015196174,223,2021-09-13
-17.258179,-5.6028023,-0.67724514,-1.7208806,-16.157003,-2.8733308,4.6496143,-0.5359936,-0.79336786,4.61807,-0.117766574,-0.013803879,-0.026077552,0.0020746759,0.80703795,0.39789945,-1.6458803,-0.71344846,-0.0044154376,224,2021-09-13
-18.410553,-7.3696856,0.6238854,-1.5759008,-18.41984,-4.0242405,4.5377107,-1.1173466,-0.7549526,4.335359,-0.115173705,-0.013803879,-0.030149309,0.0020746759,0.768793,0.3530605,-1.5445096,-0.7040624,-0.004331272,225,2021-09-13
-16.723055,-6.8853335,-0.021029154,-1.6094787,-17.790514,-4.6276884,4.949757,-0.5852677,-0.7203395,4.303604,-0.11707391,-0.013803879,-0.026077552,0.0020746759,0.76047003,0.3612163,-1.578011,-0.753204,-0.004331272,243,2021-09-13
-16.441795,-6.28058,-0.8624172,-1.1775956,-10.807157,-1.4062147,4.632246,-0.3198279,-0.911701,4.7219114,-0.13260527,-0.013803879,-0.02977884,0.0020746759,0.92747116,0.39826226,-1.5762414,-0.787428,-0.019897135,259,2021-09-13
-18.458544,-6.6938777,-0.7163023,-1.8566633,-18.278692,-5.122153,4.650398,-0.7852219,-0.72787213,4.3882995,-0.115173705,-0.013803879,-0.030149309,0.0020746759,0.74569213,0.35721686,-1.5832388,-0.6913843,-0.0044154376,261,2021-09-13
-18.875036,-7.0328383,0.013198664,-1.86478,-18.498098,-4.1637716,4.747337,-0.9830337,-0.6188154,4.360232,-0.117766574,-0.013803879,-0.030149309,0.0020746759,0.7506685,0.35082203,-1.5596585,-0.6857928,0.015196174,263,2021-09-13
-18.947443,-6.4557214,0.6364582,-1.5776842,-17.787228,-3.2613046,4.648445,-0.9220671,-0.69993716,4.4821124,-0.117766574,-0.013803879,-0.030149309,0.0020746759,0.7914486,0.36334902,-1.5521367,-0.7040624,-0.004331272,270,2021-09-13
-17.833727,-6.3794703,-0.82541895,-1.8811265,-17.3048,-2.789857,4.7651024,-0.818387,-0.69619083,4.5791583,-0.117766574,-0.013803879,-0.026077552,0.0020746759,0.7772633,0.38216263,-1.5857117,-0.694864,-0.0044154376,278,2021-09-13
-17.94478,-7.037024,-0.024738304,-1.5802734,-18.512463,-5.039144,4.743184,-1.0365156,-0.64556986,4.326444,-0.117766574,-0.013803879,-0.026077552,0.0020746759,0.76197267,0.3799153,-1.5697906,-0.7048441,-0.004331272,279,2021-09-13
-17.156528,-7.033895,0.62689656,-1.6098335,-17.447624,-3.021266,4.648612,-0.7262617,-0.72799736,4.5074096,-0.117766574,-0.013803879,-0.026077552,0.0020746759,0.7945392,0.38208616,-1.5469825,-0.753204,-0.004331272,281,2021-09-13
-17.896727,-8.617802,0.39249805,-2.065273,-18.872946,-7.99672,4.367162,1.9555402,-0.8007925,4.270057,-0.115173705,-0.013803879,-0.028936258,0.0020746759,0.7404439,0.34966245,-1.5342178,-0.66802776,0.0061817365,315,2021-09-13
-18.482113,-7.128409,-0.024839275,-1.575546,-18.775497,-5.1230083,4.6311893,-1.2063988,-0.7157962,4.314953,-0.115173705,-0.013803879,-0.030149309,0.0020746759,0.7511326,0.35721686,-1.5673177,-0.7040624,-0.004331272,327,2021-09-13
