product_id,week,sku_sold,week_start
693,2020-07-20/2020-07-26,3,2020-07-20
693,2020-08-03/2020-08-09,4,2020-08-03
693,2020-08-10/2020-08-16,3,2020-08-10
693,2020-08-17/2020-08-23,2,2020-08-17
693,2020-08-24/2020-08-30,1,2020-08-24
694,2018-01-22/2018-01-28,0,2018-01-22
694,2018-03-12/2018-03-18,2,2018-03-12
694,2018-10-08/2018-10-14,7,2018-10-08
694,2018-10-15/2018-10-21,7,2018-10-15
694,2018-11-05/2018-11-11,2,2018-11-05
694,2019-02-11/2019-02-17,2,2019-02-11
694,2019-05-06/2019-05-12,0,2019-05-06
694,2019-06-17/2019-06-23,7,2019-06-17
694,2019-10-21/2019-10-27,7,2019-10-21
694,2019-11-25/2019-12-01,7,2019-11-25
694,2020-09-28/2020-10-04,10,2020-09-28
694,2020-11-09/2020-11-15,5,2020-11-09
695,2020-10-12/2020-10-18,7,2020-10-12
696,2020-10-26/2020-11-01,6,2020-10-26
697,2018-01-15/2018-01-21,9,2018-01-15
697,2018-01-22/2018-01-28,3,2018-01-22
697,2018-02-05/2018-02-11,3,2018-02-05
697,2018-02-26/2018-03-04,3,2018-02-26
697,2018-03-05/2018-03-11,3,2018-03-05
697,2018-03-12/2018-03-18,3,2018-03-12
697,2018-03-26/2018-04-01,6,2018-03-26
697,2018-04-09/2018-04-15,12,2018-04-09
697,2018-04-16/2018-04-22,6,2018-04-16
697,2018-04-23/2018-04-29,6,2018-04-23
697,2018-05-07/2018-05-13,3,2018-05-07
697,2018-05-21/2018-05-27,3,2018-05-21
697,2018-06-04/2018-06-10,3,2018-06-04
697,2018-06-25/2018-07-01,3,2018-06-25
697,2018-07-16/2018-07-22,3,2018-07-16
697,2018-08-06/2018-08-12,3,2018-08-06
697,2018-09-03/2018-09-09,3,2018-09-03
697,2018-09-10/2018-09-16,12,2018-09-10
697,2018-10-15/2018-10-21,3,2018-10-15
697,2018-10-29/2018-11-04,3,2018-10-29
697,2018-11-19/2018-11-25,3,2018-11-19
697,2018-11-26/2018-12-02,6,2018-11-26
697,2019-02-04/2019-02-10,6,2019-02-04
697,2019-02-18/2019-02-24,3,2019-02-18
697,2019-02-25/2019-03-03,3,2019-02-25
697,2019-03-04/2019-03-10,3,2019-03-04
697,2019-03-25/2019-03-31,3,2019-03-25
697,2019-04-01/2019-04-07,6,2019-04-01
697,2019-04-15/2019-04-21,3,2019-04-15
697,2019-04-29/2019-05-05,3,2019-04-29
697,2019-05-06/2019-05-12,3,2019-05-06
697,2019-05-20/2019-05-26,6,2019-05-20
697,2019-05-27/2019-06-02,3,2019-05-27
697,2019-06-03/2019-06-09,6,2019-06-03
697,2019-07-15/2019-07-21,3,2019-07-15
697,2019-07-22/2019-07-28,3,2019-07-22
697,2019-08-26/2019-09-01,3,2019-08-26
697,2019-09-09/2019-09-15,3,2019-09-09
697,2019-09-16/2019-09-22,6,2019-09-16
697,2019-09-23/2019-09-29,6,2019-09-23
697,2019-10-21/2019-10-27,3,2019-10-21
697,2019-10-28/2019-11-03,3,2019-10-28
697,2019-11-11/2019-11-17,6,2019-11-11
697,2019-11-25/2019-12-01,3,2019-11-25
697,2020-01-27/2020-02-02,6,2020-01-27
697,2020-02-03/2020-02-09,3,2020-02-03
697,2020-02-10/2020-02-16,3,2020-02-10
697,2020-02-17/2020-02-23,3,2020-02-17
